epoch_s,local_time,dt_s,section,paddle,slat,mem_index,diff,rate_hz
1771538214,2026-02-19 21:56:54,5.000930,TOP,46,2,117,10,1.999628
1771538214,2026-02-19 21:56:54,5.000930,TOP,167,1,115,140,27.994795
1771538214,2026-02-19 21:56:54,5.000930,TOP,167,2,113,68,13.597472
1771538214,2026-02-19 21:56:54,5.000930,TOP,90,1,111,192,38.392862
1771538214,2026-02-19 21:56:54,5.000930,TOP,90,2,109,11,2.199591
1771538214,2026-02-19 21:56:54,5.000930,TOP,302,1,120,0,0.000000
1771538214,2026-02-19 21:56:54,5.000930,TOP,302,2,121,0,0.000000
1771538214,2026-02-19 21:56:54,5.000930,TOP,62,1,122,0,0.000000
1771538214,2026-02-19 21:56:54,5.000930,TOP,62,2,123,0,0.000000
1771538214,2026-02-19 21:56:54,5.000930,TOP,44,1,124,0,0.000000
1771538214,2026-02-19 21:56:54,5.000930,TOP,44,2,125,0,0.000000
1771538214,2026-02-19 21:56:54,5.000930,TOP,61,1,55,169,33.793717
1771538214,2026-02-19 21:56:54,5.000930,TOP,61,2,51,0,0.000000
1771538214,2026-02-19 21:56:54,5.000930,BARREL,26,1,24,52,10.398067
1771538214,2026-02-19 21:56:54,5.000930,BARREL,26,2,25,39,7.798550
1771538214,2026-02-19 21:56:54,5.000930,BARREL,66,1,26,63,12.597658
1771538214,2026-02-19 21:56:54,5.000930,BARREL,66,2,27,35,6.998699
1771538214,2026-02-19 21:56:54,5.000930,BARREL,10,1,28,59,11.797806
1771538214,2026-02-19 21:56:54,5.000930,BARREL,10,2,29,47,9.398253
1771538214,2026-02-19 21:56:54,5.000930,BARREL,58,1,30,0,0.000000
1771538214,2026-02-19 21:56:54,5.000930,BARREL,58,2,31,0,0.000000
1771538214,2026-02-19 21:56:54,5.000930,BARREL,306,1,32,45,8.998327
1771538214,2026-02-19 21:56:54,5.000930,BARREL,306,2,33,35,6.998699
1771538214,2026-02-19 21:56:54,5.000930,BARREL,9,1,34,33,6.598773
1771538214,2026-02-19 21:56:54,5.000930,BARREL,9,2,35,0,0.000000
1771538214,2026-02-19 21:56:54,5.000930,BARREL,57,1,36,80,15.997026
1771538214,2026-02-19 21:56:54,5.000930,BARREL,57,2,37,18,3.599331
1771538214,2026-02-19 21:56:54,5.000930,BARREL,79,1,38,59,11.797806
1771538214,2026-02-19 21:56:54,5.000930,BARREL,79,2,39,81,16.196989
1771538214,2026-02-19 21:56:54,5.000930,BARREL,116,1,40,0,0.000000
1771538214,2026-02-19 21:56:54,5.000930,BARREL,116,2,41,53,10.598030
1771538214,2026-02-19 21:56:54,5.000930,BARREL,13,1,42,0,0.000000
1771538214,2026-02-19 21:56:54,5.000930,BARREL,13,2,43,0,0.000000
1771538214,2026-02-19 21:56:54,5.000930,BARREL,76,1,44,53,10.598030
1771538214,2026-02-19 21:56:54,5.000930,BARREL,76,2,45,44,8.798364
1771538214,2026-02-19 21:56:54,5.000930,BARREL,17,1,46,29,5.798922
1771538214,2026-02-19 21:56:54,5.000930,BARREL,17,2,47,50,9.998141
1771538214,2026-02-19 21:56:54,5.000930,BARREL,125,1,48,60,11.997769
